_id,empId,email,role,passwordStatus,mustChangePassword,createdAt,updatedAt
6a82e0778437afa6625e9d83,,priya.sharma@enterprise.com,HR_ADMIN,,,2026-08-17T10:20:39.553968+00:00,2026-08-17T13:01:29.957429
6a82e0778437afa6625e9d84,EMP000001,aarav.sharma.1@company.com,EMPLOYEE,,,2026-08-17T10:20:39.553968+00:00,2026-08-17T13:01:29.996508
6a858357c3cefe074bb21867,EMP000011,bhavana.malhotra.11@company.com,EMPLOYEE,default,False,2026-08-19T10:20:07.303568+00:00,2026-08-19T10:20:07.303568+00:00
6a85866246e7ff0726d4bdc2,EMP000019,isha.desai.19@company.com,EMPLOYEE,default,False,2026-08-19T10:30:13.839983+00:00,2026-08-19T10:30:13.839983+00:00
6a85866246e7ff0726d4bdc3,EMP000024,kiran.singh.24@company.com,EMPLOYEE,default,False,2026-08-19T10:30:14.105049+00:00,2026-08-19T10:30:14.105049+00:00
6a85866246e7ff0726d4bdc4,EMP000025,krishna.mishra.25@company.com,EMPLOYEE,default,False,2026-08-19T10:30:14.360243+00:00,2026-08-19T10:30:14.360243+00:00
6a85866246e7ff0726d4bdc5,EMP000084,akshay.mukherjee.84@company.com,EMPLOYEE,default,False,2026-08-19T10:30:14.626631+00:00,2026-08-19T10:30:14.626631+00:00
6a85866246e7ff0726d4bdc6,EMP000119,riya.desai.119@company.com,EMPLOYEE,default,False,2026-08-19T10:30:14.887994+00:00,2026-08-19T10:30:14.887994+00:00
6a85866246e7ff0726d4bdc7,EMP000194,priya.verma.194@company.com,EMPLOYEE,default,False,2026-08-19T10:30:15.159352+00:00,2026-08-19T10:30:15.159352+00:00
6a85866246e7ff0726d4bdc8,EMP000224,pradeep.singh.224@company.com,EMPLOYEE,default,False,2026-08-19T10:30:15.423392+00:00,2026-08-19T10:30:15.423392+00:00
6a85866246e7ff0726d4bdc9,EMP000234,vaishnavi.mukherjee.234@company.com,EMPLOYEE,default,False,2026-08-19T10:30:15.670322+00:00,2026-08-19T10:30:15.670322+00:00
6a85866246e7ff0726d4bdca,EMP000282,shreya.das.282@company.com,EMPLOYEE,default,False,2026-08-19T10:30:15.932143+00:00,2026-08-19T10:30:15.932143+00:00
6a85866246e7ff0726d4bdcb,EMP000284,srinivas.mukherjee.284@company.com,EMPLOYEE,default,False,2026-08-19T10:30:16.201876+00:00,2026-08-19T10:30:16.201876+00:00
6a85866246e7ff0726d4bdcc,EMP000285,swathi.tripathi.285@company.com,EMPLOYEE,default,False,2026-08-19T10:30:16.467106+00:00,2026-08-19T10:30:16.467106+00:00
6a85866246e7ff0726d4bdcd,EMP000292,abhinav.yadav.292@company.com,EMPLOYEE,default,False,2026-08-19T10:30:16.743253+00:00,2026-08-19T10:30:16.743253+00:00
6a85866246e7ff0726d4bdce,EMP000334,harish.mukherjee.334@company.com,EMPLOYEE,default,False,2026-08-19T10:30:17.019121+00:00,2026-08-19T10:30:17.019121+00:00
6a85866246e7ff0726d4bdcf,EMP000352,priya.patel.352@company.com,EMPLOYEE,default,False,2026-08-19T10:30:17.371845+00:00,2026-08-19T10:30:17.371845+00:00
6a85866246e7ff0726d4bdd0,EMP000359,sanjay.rao.359@company.com,EMPLOYEE,default,False,2026-08-19T10:30:17.849317+00:00,2026-08-19T10:30:17.849317+00:00
6a85866246e7ff0726d4bdd1,EMP000360,sanjana.joshi.360@company.com,EMPLOYEE,default,False,2026-08-19T10:30:18.140266+00:00,2026-08-19T10:30:18.140266+00:00
6a85866246e7ff0726d4bdd2,EMP000373,anirudh.menon.373@company.com,EMPLOYEE,default,False,2026-08-19T10:30:18.414781+00:00,2026-08-19T10:30:18.414781+00:00
6a85866246e7ff0726d4bdd3,EMP000042,sahana.yadav.42@company.com,EMPLOYEE,default,False,2026-08-19T10:30:18.745403+00:00,2026-08-19T10:30:18.745403+00:00
6a85866246e7ff0726d4bdd4,EMP000046,sneha.pillai.46@company.com,EMPLOYEE,default,False,2026-08-19T10:30:19.025060+00:00,2026-08-19T10:30:19.025060+00:00
6a85866246e7ff0726d4bdd5,EMP000049,tanvi.pandey.49@company.com,EMPLOYEE,default,False,2026-08-19T10:30:19.308141+00:00,2026-08-19T10:30:19.308141+00:00
6a85866246e7ff0726d4bdd6,EMP000051,vikram.sharma.51@company.com,EMPLOYEE,default,False,2026-08-19T10:30:19.566378+00:00,2026-08-19T10:30:19.566378+00:00
